Title: A Machine Learning Method to Infer Fundamental Stellar Parameters 
       from Photometric Light Curves  
Authors: Miller A.A., Bloom J.S., Richards J.W., Lee Y.S., Starr D.L., 
         Butler N.R., Tokarz S., Smith N., Eisner J.A. 
Table: SSPP Stellar Parameters for Hectospec Targets
================================================================================
Byte-by-byte Description of file: apj504861t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  7 I7     ---      ID     Source identifier in the UWVSC 
   9- 12 F4.1   ---      P      Target priority for Hectospec observations
  14- 18 A5     ---      Flags  Analyis flags returned by the SSPP (1)
  20- 26 F7.1   K        Teff   Effective temperature (2)
  28- 34 F7.1   K       eTeff   Uncertainty in Teff  (2)
  36- 37 I2     ---    o_Teff   Number of methods used by SSPP to derive Teff
  39- 46 F8.2   [cm/s2]  log(g) Log surface gravity (2)
  48- 55 F8.2   [cm/s2] elog(g) Uncertainty in log(g) (2)
      57 I1     ---    o_log(g) Number of methods used by SSPP to derive log(g)
  59- 66 F8.2   [-]      [Fe/H] Metallicity (2)
  68- 75 F8.2   [-]     e[Fe/H] Uncertainty in [Fe/H] (2)
      77 I1     ---    o_[Fe/H] Number of methods used by SSPP to derive [Fe/H]
--------------------------------------------------------------------------------
Note (1): See Lee et al. 2008a.
Note (2): A -9999.00 indicates a NULL value.
--------------------------------------------------------------------------------
4172970  4.  nnnnn  5499.7    94.7  7     3.94     0.18 6     0.01     0.12 5 
4583821  5.  Nnnnn  4487.8   120.3  3     4.19     0.26 2    -0.95     0.08 1 
4651452  2.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4777216  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5302673  9.  nnnnn  5986.7   161.8  4     3.93     0.79 2    -0.76     0.09 1 
4220866  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4377727  1.  nnnnn  5017.2   104.8  4     3.66     0.21 4    -0.30     0.09 2 
4734556  6.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5253630  5.  nnnnn  5783.1    80.5  8     4.10     0.24 6    -0.58     0.06 6 
5744204  2.5 NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5839217  6.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4305868  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4313372  5.  nnBnn  5127.8   129.1  4     4.47     0.20 4    -0.42     0.05 3 
4374553  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4516619  2.  nnnnn  5798.0    57.1  8     4.30     0.10 6    -0.03     0.02 5 
4528719  5.  nnnnn  6065.7    29.1  9     3.49     0.15 5    -0.82     0.04 7 
4633113  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4636579  5.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4669317  3.  nnnnn  5426.3    48.1  7     4.33     0.11 6    -0.10     0.04 3 
4766649  6.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4859731  5.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
